,text_id,reader_id,lang,spearman_r,spearman_p,measures,layers
0,1,du_11,du,0.17377605926915793,0.02748276663569212,Total fixation duration,First
1,1,du_11,du,-0.18468563746591488,0.0190091695049346,Total fixation duration,Middle
2,1,du_11,du,-0.1947486832443324,0.01330200458524248,Total fixation duration,Last
3,1,du_11,du,0.12235362549891522,0.12205337625699816,Gaze duration,First
4,1,du_11,du,-0.1656050694395214,0.03577826240597312,Gaze duration,Middle
5,1,du_11,du,-0.14985021814973346,0.05778862225690958,Gaze duration,Last
6,1,du_13,du,0.11201003302081974,0.15717713958595586,Total fixation duration,First
7,1,du_13,du,-0.05858413796306049,0.4603980013435037,Total fixation duration,Middle
8,1,du_13,du,-0.07280536749420279,0.35871456917773004,Total fixation duration,Last
9,1,du_13,du,0.13090734437334933,0.09788064601837201,Gaze duration,First
10,1,du_13,du,-0.08965738760007824,0.25803826566289145,Gaze duration,Middle
11,1,du_13,du,-0.08936024135762995,0.2596256637561756,Gaze duration,Last
12,1,du_22,du,0.08016815144401913,0.31205379181412946,Total fixation duration,First
13,1,du_22,du,-0.066102709802192,0.4047738610773115,Total fixation duration,Middle
14,1,du_22,du,-0.09441053542749832,0.23354992316923312,Total fixation duration,Last
15,1,du_22,du,0.13683887723870716,0.08346719356532224,Gaze duration,First
16,1,du_22,du,-0.10516312929316819,0.18429116588533842,Gaze duration,Middle
17,1,du_22,du,-0.1276688057149521,0.10654376567263868,Gaze duration,Last
18,1,du_23,du,0.010591251634275973,0.8939209166982854,Total fixation duration,First
19,1,du_23,du,-0.0318616670472953,0.6882500228496002,Total fixation duration,Middle
20,1,du_23,du,-0.04146426735198721,0.6014978156398425,Total fixation duration,Last
21,1,du_23,du,-0.010715270742844236,0.8926861783505065,Gaze duration,First
22,1,du_23,du,0.09162961648410138,0.24767133905472724,Gaze duration,Middle
23,1,du_23,du,0.09595607818820608,0.22595082388205284,Gaze duration,Last
24,1,du_24,du,0.0215005691352671,0.7866085243130567,Total fixation duration,First
25,1,du_24,du,-0.024066946169929007,0.7618595490311924,Total fixation duration,Middle
26,1,du_24,du,-0.03933299662454062,0.6203299381358582,Total fixation duration,Last
27,1,du_24,du,-0.005549988923157144,0.9442945147493069,Gaze duration,First
28,1,du_24,du,0.03447074909525737,0.6642116218001002,Gaze duration,Middle
29,1,du_24,du,0.023513266994190905,0.7671795611372497,Gaze duration,Last
30,1,du_25,du,0.04910852018273219,0.5361565420601704,Total fixation duration,First
31,1,du_25,du,-0.14424656999844412,0.06791325121931469,Total fixation duration,Middle
32,1,du_25,du,-0.11960303224615877,0.13073816517273262,Total fixation duration,Last
33,1,du_25,du,0.0436941139696674,0.5820730440647648,Gaze duration,First
34,1,du_25,du,-0.03404334584878801,0.6681268856002327,Gaze duration,Middle
35,1,du_25,du,-0.03307507534087186,0.6770298245828824,Gaze duration,Last
36,1,du_27,du,-0.06349284853781922,0.423615590224537,Total fixation duration,First
37,1,du_27,du,0.02640928065420097,0.7394791246790999,Total fixation duration,Middle
38,1,du_27,du,0.018398446020668698,0.8168093185500743,Total fixation duration,Last
39,1,du_27,du,-0.06321933638217371,0.425619191842864,Gaze duration,First
40,1,du_27,du,-0.030626048273056827,0.6997458530120739,Gaze duration,Middle
41,1,du_27,du,-0.020247212677010636,0.7987751006116766,Gaze duration,Last
42,1,du_29,du,0.3104596796433519,6.121066384647588e-05,Total fixation duration,First
43,1,du_29,du,-0.3132254249989952,5.216680609185167e-05,Total fixation duration,Middle
44,1,du_29,du,-0.35229029567412,4.5829044682535164e-06,Total fixation duration,Last
45,1,du_29,du,0.25456200089891834,0.00111917416624947,Gaze duration,First
46,1,du_29,du,-0.23833391334787457,0.0023302735289115403,Gaze duration,Middle
47,1,du_29,du,-0.27403072262403694,0.0004355572166838084,Gaze duration,Last
48,1,du_31,du,0.17444571341547802,0.02688251463325104,Total fixation duration,First
49,1,du_31,du,-0.12214027013866098,0.12271062662319382,Total fixation duration,Middle
50,1,du_31,du,-0.151108667064615,0.055694776870971206,Total fixation duration,Last
51,1,du_31,du,0.12573592108242845,0.1119943137652382,Gaze duration,First
52,1,du_31,du,-0.09594196134815833,0.22601943275353073,Gaze duration,Middle
53,1,du_31,du,-0.10350520712092275,0.19134421687233177,Gaze duration,Last
54,1,du_32,du,0.04768552025859419,0.5480473214939411,Total fixation duration,First
55,1,du_32,du,0.026157762562429757,0.7418722479480475,Total fixation duration,Middle
56,1,du_32,du,0.008395193067548443,0.9158244218421807,Total fixation duration,Last
57,1,du_32,du,0.019045101052984896,0.8104899196886322,Gaze duration,First
58,1,du_32,du,0.04327763522156773,0.5856789826027243,Gaze duration,Middle
59,1,du_32,du,0.03450297517970288,0.6639167780413161,Gaze duration,Last
60,1,du_34,du,-0.052717796590859144,0.5065854642212528,Total fixation duration,First
61,1,du_34,du,-0.07705752561087655,0.33126082486924513,Total fixation duration,Middle
62,1,du_34,du,-0.04432957797840798,0.5765909812728386,Total fixation duration,Last
63,1,du_34,du,-0.045438290023219724,0.5670844519838495,Gaze duration,First
64,1,du_34,du,-0.06659533841006944,0.4012738953281204,Gaze duration,Middle
65,1,du_34,du,-0.03785159040465149,0.6335676120724882,Gaze duration,Last
66,1,du_35,du,0.15383253170047764,0.051376677885187794,Total fixation duration,First
67,1,du_35,du,-0.1548816766685793,0.049789285845296016,Total fixation duration,Middle
68,1,du_35,du,-0.16118975249776674,0.04108118742366335,Total fixation duration,Last
69,1,du_35,du,0.09918323240711654,0.21065108592769208,Gaze duration,First
