,text_id,reader_id,lang,spearman_r,spearman_p,measure,layer
0,1,du_8,du,0.11512689435741298,0.1458758379055198,Total fixation duration,First
1,1,du_8,du,-0.1169614942500117,0.13951820208785,Total fixation duration,Middle
2,1,du_8,du,-0.12802516679981368,0.10556199091735884,Total fixation duration,Last
3,1,du_8,du,0.10173682999769956,0.19908181311801715,Gaze duration,First
4,1,du_8,du,-0.12179089026915116,0.12379281657270393,Gaze duration,Middle
5,1,du_8,du,-0.12667356797791582,0.10932363801921352,Gaze duration,Last
6,1,en_99,en,0.11599091327352198,0.1428548225125669,Total fixation duration,First
7,1,en_99,en,-0.12295261099608927,0.12022274017070471,Total fixation duration,Middle
8,1,en_99,en,-0.1318064182194617,0.09557722059439741,Total fixation duration,Last
9,1,en_99,en,0.0977657004830918,0.2172775134071858,Gaze duration,First
10,1,en_99,en,-0.12425523349436395,0.11631519089706914,Gaze duration,Middle
11,1,en_99,en,-0.12642051989878078,0.1100394252186836,Gaze duration,Last
12,1,fi_9,fi,0.12111513687600647,0.12590685409255145,Total fixation duration,First
13,1,fi_9,fi,-0.1327984817115252,0.09308567129076394,Total fixation duration,Middle
14,1,fi_9,fi,-0.14118357487922706,0.07403139034300925,Total fixation duration,Last
15,1,fi_9,fi,0.1067604094778008,0.17767822645940767,Gaze duration,First
16,1,fi_9,fi,-0.12172762824936738,0.12398955463881618,Gaze duration,Middle
17,1,fi_9,fi,-0.1228864734299517,0.12042381969717127,Gaze duration,Last
18,1,ge_9,ge,0.11429721647112952,0.14882213399763586,Total fixation duration,First
19,1,ge_9,ge,-0.11792615596963424,0.13626113658464833,Total fixation duration,Middle
20,1,ge_9,ge,-0.1283758914193697,0.10460270016874507,Total fixation duration,Last
21,1,ge_9,ge,0.09792536370298403,0.21652381269477106,Gaze duration,First
22,1,ge_9,ge,-0.11931225508418015,0.1316833416352193,Gaze duration,Middle
23,1,ge_9,ge,-0.12154943175571907,0.12454502574095164,Gaze duration,Last
24,1,gr_9,gr,0.11512689435741298,0.1458758379055198,Total fixation duration,First
